,frame,image_id,colony_area,cell_count,cell_area,cell_length,medium
158,38,978,279381.75121304544,643,218807.5,22225.44835969844,Acetate-MOPS
159,39,978,301268.38577835495,729,239789.0,24564.004310822704,Acetate-MOPS
160,0,979,1723.318462646348,4,1618.5,142.87441639217948,Acetate-MOPS
161,1,979,1996.6198448986177,5,1837.0,161.69726633064394,Acetate-MOPS
162,2,979,2374.476857046495,7,2105.0,189.81342721107976,Acetate-MOPS
163,3,979,2723.272618023437,7,2318.0,207.96011762706087,Acetate-MOPS
164,4,979,2992.566104618389,7,2500.0,223.96807317758868,Acetate-MOPS
165,5,979,3191.284003246403,7,2716.0,241.34632490664384,Acetate-MOPS
166,6,979,3222.6002589243217,9,2854.0,264.21174484358,Acetate-MOPS
167,7,979,3695.061611636571,11,3078.0,285.1313820732886,Acetate-MOPS
168,8,979,4146.852820515109,11,3383.5,314.11943819156124,Acetate-MOPS
169,9,979,5058.502456609827,12,4091.5,383.9611975843413,Acetate-MOPS
170,10,979,5525.950517188012,12,4527.5,419.59193411708327,Acetate-MOPS
171,11,979,6467.3164534639145,14,5319.5,496.23562733408045,Acetate-MOPS
172,12,979,6945.754038692443,16,5732.0,540.0195625467888,Acetate-MOPS
173,13,979,7717.201343984898,21,6215.5,603.6672818031782,Acetate-MOPS
174,14,979,9245.500440670494,24,7250.0,702.5215642289905,Acetate-MOPS
175,15,979,9776.953874279585,23,7726.5,744.2116630745257,Acetate-MOPS
176,16,979,10694.101111379836,23,8458.5,814.5907878039992,Acetate-MOPS
177,17,979,12674.371825384977,26,9749.5,939.6794055808731,Acetate-MOPS
178,18,979,14770.6076709128,36,11088.0,1082.6451662473291,Acetate-MOPS
179,19,979,16846.483622375818,44,12714.5,1238.0844964727744,Acetate-MOPS
180,20,979,18652.65059529084,46,14195.5,1385.3882184011366,Acetate-MOPS
181,21,979,20465.100559966253,48,15733.5,1530.61872698242,Acetate-MOPS
182,22,979,22477.519865326743,49,17446.5,1696.5544226003071,Acetate-MOPS
183,23,979,25390.387186442316,54,19496.0,1890.2181505511044,Acetate-MOPS
184,24,979,29707.668662046774,66,22261.0,2172.7881607887684,Acetate-MOPS
185,25,979,33554.654142721854,79,25472.0,2485.8146400897576,Acetate-MOPS
186,26,979,37977.980961208246,89,28716.5,2800.42069406497,Acetate-MOPS
